"year","state","month","number","date"
2007,"Minas Gerais","Janeiro",91,2007-01-01
2008,"Minas Gerais","Janeiro",85,2008-01-01
2009,"Minas Gerais","Janeiro",74,2009-01-01
2010,"Minas Gerais","Janeiro",118,2010-01-01
2011,"Minas Gerais","Janeiro",61,2011-01-01
2012,"Minas Gerais","Janeiro",75,2012-01-01
2013,"Minas Gerais","Janeiro",75,2013-01-01
2014,"Minas Gerais","Janeiro",133,2014-01-01
2015,"Minas Gerais","Janeiro",147,2015-01-01
2016,"Minas Gerais","Janeiro",61,2016-01-01
2017,"Minas Gerais","Janeiro",106,2017-01-01
1998,"Minas Gerais","Fevereiro",0,1998-01-01
1999,"Minas Gerais","Fevereiro",112,1999-01-01
2000,"Minas Gerais","Fevereiro",20,2000-01-01
2001,"Minas Gerais","Fevereiro",39,2001-01-01
2002,"Minas Gerais","Fevereiro",62,2002-01-01
2003,"Minas Gerais","Fevereiro",126,2003-01-01
2004,"Minas Gerais","Fevereiro",29,2004-01-01
2005,"Minas Gerais","Fevereiro",79,2005-01-01
2006,"Minas Gerais","Fevereiro",96,2006-01-01
2007,"Minas Gerais","Fevereiro",71,2007-01-01
2008,"Minas Gerais","Fevereiro",59,2008-01-01
2009,"Minas Gerais","Fevereiro",74,2009-01-01
2010,"Minas Gerais","Fevereiro",155,2010-01-01
2011,"Minas Gerais","Fevereiro",111,2011-01-01
2012,"Minas Gerais","Fevereiro",123,2012-01-01
2013,"Minas Gerais","Fevereiro",143,2013-01-01
2014,"Minas Gerais","Fevereiro",157,2014-01-01
2015,"Minas Gerais","Fevereiro",84,2015-01-01
2016,"Minas Gerais","Fevereiro",207,2016-01-01
2017,"Minas Gerais","Fevereiro",61,2017-01-01
1998,"Minas Gerais","Março",0,1998-01-01
1999,"Minas Gerais","Março",13,1999-01-01
2000,"Minas Gerais","Março",24,2000-01-01
2001,"Minas Gerais","Março",13,2001-01-01
2002,"Minas Gerais","Março",62,2002-01-01
2003,"Minas Gerais","Março",81,2003-01-01
2004,"Minas Gerais","Março",81,2004-01-01
2005,"Minas Gerais","Março",107,2005-01-01
2006,"Minas Gerais","Março",69,2006-01-01
2007,"Minas Gerais","Março",155,2007-01-01
2008,"Minas Gerais","Março",61,2008-01-01
2009,"Minas Gerais","Março",106,2009-01-01
2010,"Minas Gerais","Março",109,2010-01-01
2011,"Minas Gerais","Março",67,2011-01-01
2012,"Minas Gerais","Março",152,2012-01-01
2013,"Minas Gerais","Março",110,2013-01-01
2014,"Minas Gerais","Março",77,2014-01-01
2015,"Minas Gerais","Março",80,2015-01-01
2016,"Minas Gerais","Março",123,2016-01-01
2017,"Minas Gerais","Março",105,2017-01-01
1998,"Minas Gerais","Abril",0,1998-01-01
1999,"Minas Gerais","Abril",27,1999-01-01
2000,"Minas Gerais","Abril",49,2000-01-01
2001,"Minas Gerais","Abril",60,2001-01-01
2002,"Minas Gerais","Abril",99,2002-01-01
2003,"Minas Gerais","Abril",215,2003-01-01
2004,"Minas Gerais","Abril",48,2004-01-01
2005,"Minas Gerais","Abril",89,2005-01-01
2006,"Minas Gerais","Abril",50,2006-01-01
2007,"Minas Gerais","Abril",35,2007-01-01
2008,"Minas Gerais","Abril",113,2008-01-01
2009,"Minas Gerais","Abril",26,2009-01-01
2010,"Minas Gerais","Abril",112,2010-01-01
2011,"Minas Gerais","Abril",66,2011-01-01
2012,"Minas Gerais","Abril",180,2012-01-01
2013,"Minas Gerais","Abril",61,2013-01-01
2014,"Minas Gerais","Abril",161,2014-01-01
2015,"Minas Gerais","Abril",109,2015-01-01
2016,"Minas Gerais","Abril",172,2016-01-01
2017,"Minas Gerais","Abril",69,2017-01-01
1998,"Minas Gerais","Maio",0,1998-01-01
1999,"Minas Gerais","Maio",51,1999-01-01
2000,"Minas Gerais","Maio",67,2000-01-01
2001,"Minas Gerais","Maio",83,2001-01-01
2002,"Minas Gerais","Maio",98,2002-01-01
2003,"Minas Gerais","Maio",75,2003-01-01
2004,"Minas Gerais","Maio",79,2004-01-01
2005,"Minas Gerais","Maio",134,2005-01-01
2006,"Minas Gerais","Maio",62,2006-01-01
2007,"Minas Gerais","Maio",124,2007-01-01
2008,"Minas Gerais","Maio",50,2008-01-01
2009,"Minas Gerais","Maio",128,2009-01-01
2010,"Minas Gerais","Maio",179,2010-01-01
2011,"Minas Gerais","Maio",151,2011-01-01
2012,"Minas Gerais","Maio",144,2012-01-01
2013,"Minas Gerais","Maio",150,2013-01-01
2014,"Minas Gerais","Maio",224,2014-01-01
2015,"Minas Gerais","Maio",114,2015-01-01
2016,"Minas Gerais","Maio",186,2016-01-01
2017,"Minas Gerais","Maio",125,2017-01-01
1998,"Minas Gerais","Junho",70,1998-01-01
1999,"Minas Gerais","Junho",132,1999-01-01
2000,"Minas Gerais","Junho",135,2000-01-01
2001,"Minas Gerais","Junho",166,2001-01-01
2002,"Minas Gerais","Junho",207,2002-01-01
2003,"Minas Gerais","Junho",245,2003-01-01
2004,"Minas Gerais","Junho",209,2004-01-01
2005,"Minas Gerais","Junho",246,2005-01-01
2006,"Minas Gerais","Junho",73,2006-01-01
2007,"Minas Gerais","Junho",184,2007-01-01
2008,"Minas Gerais","Junho",48,2008-01-01
2009,"Minas Gerais","Junho",173,2009-01-01
2010,"Minas Gerais","Junho",139,2010-01-01
2011,"Minas Gerais","Junho",304,2011-01-01
2012,"Minas Gerais","Junho",219,2012-01-01
2013,"Minas Gerais","Junho",144,2013-01-01
2014,"Minas Gerais","Junho",376,2014-01-01
2015,"Minas Gerais","Junho",200,2015-01-01
2016,"Minas Gerais","Junho",263,2016-01-01
2017,"Minas Gerais","Junho",360,2017-01-01
1998,"Minas Gerais","Julho",232,1998-01-01
1999,"Minas Gerais","Julho",318,1999-01-01
2000,"Minas Gerais","Julho",345,2000-01-01
2001,"Minas Gerais","Julho",266,2001-01-01
2002,"Minas Gerais","Julho",741,2002-01-01
2003,"Minas Gerais","Julho",407,2003-01-01
2004,"Minas Gerais","Julho",625,2004-01-01
2005,"Minas Gerais","Julho",467,2005-01-01
2006,"Minas Gerais","Julho",336,2006-01-01
2007,"Minas Gerais","Julho",446,2007-01-01
2008,"Minas Gerais","Julho",194,2008-01-01
2009,"Minas Gerais","Julho",477,2009-01-01
2010,"Minas Gerais","Julho",707,2010-01-01
2011,"Minas Gerais","Julho",801,2011-01-01
2012,"Minas Gerais","Julho",669,2012-01-01
2013,"Minas Gerais","Julho",462,2013-01-01
2014,"Minas Gerais","Julho",559,2014-01-01
2015,"Minas Gerais","Julho",288,2015-01-01
2016,"Minas Gerais","Julho",1.004,2016-01-01
2017,"Minas Gerais","Julho",610,2017-01-01
1998,"Minas Gerais","Agosto",875,1998-01-01
1999,"Minas Gerais","Agosto",1.19,1999-01-01
2000,"Minas Gerais","Agosto",769,2000-01-01
2001,"Minas Gerais","Agosto",858,2001-01-01
2002,"Minas Gerais","Agosto",2.041,2002-01-01
2003,"Minas Gerais","Agosto",1.955,2003-01-01
2004,"Minas Gerais","Agosto",1.642,2004-01-01
2005,"Minas Gerais","Agosto",1.029,2005-01-01
2006,"Minas Gerais","Agosto",959,2006-01-01
2007,"Minas Gerais","Agosto",2.975,2007-01-01
2008,"Minas Gerais","Agosto",605,2008-01-01
2009,"Minas Gerais","Agosto",685,2009-01-01
2010,"Minas Gerais","Agosto",3.353,2010-01-01
2011,"Minas Gerais","Agosto",2.742,2011-01-01
2012,"Minas Gerais","Agosto",901,2012-01-01
2013,"Minas Gerais","Agosto",911,2013-01-01
2014,"Minas Gerais","Agosto",1.952,2014-01-01
2015,"Minas Gerais","Agosto",1.059,2015-01-01
2016,"Minas Gerais","Agosto",1.433,2016-01-01
2017,"Minas Gerais","Agosto",2.142,2017-01-01
1998,"Minas Gerais","Setembro",1.981,1998-01-01
1999,"Minas Gerais","Setembro",2.686,1999-01-01
2000,"Minas Gerais","Setembro",1.08,2000-01-01
2001,"Minas Gerais","Setembro",1.597,2001-01-01
2002,"Minas Gerais","Setembro",3.1,2002-01-01
2003,"Minas Gerais","Setembro",7.091,2003-01-01
2004,"Minas Gerais","Setembro",4.339,2004-01-01
2005,"Minas Gerais","Setembro",2.047,2005-01-01
2006,"Minas Gerais","Setembro",2.78,2006-01-01
2007,"Minas Gerais","Setembro",5.088,2007-01-01
2008,"Minas Gerais","Setembro",2.552,2008-01-01
2009,"Minas Gerais","Setembro",1.31,2009-01-01
2010,"Minas Gerais","Setembro",5.059,2010-01-01
2011,"Minas Gerais","Setembro",5.978,2011-01-01
2012,"Minas Gerais","Setembro",3.219,2012-01-01
2013,"Minas Gerais","Setembro",1.656,2013-01-01
2014,"Minas Gerais","Setembro",3.454,2014-01-01
2015,"Minas Gerais","Setembro",3.088,2015-01-01
2016,"Minas Gerais","Setembro",2.093,2016-01-01
2017,"Minas Gerais","Setembro",4.697,2017-01-01
1998,"Minas Gerais","Outubro",1.093,1998-01-01
1999,"Minas Gerais","Outubro",1.363,1999-01-01
2000,"Minas Gerais","Outubro",1.954,2000-01-01
2001,"Minas Gerais","Outubro",528,2001-01-01
2002,"Minas Gerais","Outubro",4.788,2002-01-01
2003,"Minas Gerais","Outubro",5.391,2003-01-01
2004,"Minas Gerais","Outubro",2.736,2004-01-01
2005,"Minas Gerais","Outubro",6.546,2005-01-01
2006,"Minas Gerais","Outubro",616,2006-01-01
2007,"Minas Gerais","Outubro",3.467,2007-01-01
2008,"Minas Gerais","Outubro",3.787,2008-01-01
2009,"Minas Gerais","Outubro",1.013,2009-01-01
2010,"Minas Gerais","Outubro",2.048,2010-01-01
2011,"Minas Gerais","Outubro",1.206,2011-01-01
2012,"Minas Gerais","Outubro",3.97,2012-01-01
2013,"Minas Gerais","Outubro",1.221,2013-01-01
2014,"Minas Gerais","Outubro",4.735,2014-01-01
2015,"Minas Gerais","Outubro",3.708,2015-01-01
2016,"Minas Gerais","Outubro",948,2016-01-01
2017,"Minas Gerais","Outubro",3.062,2017-01-01
1998,"Minas Gerais","Novembro",32,1998-01-01
1999,"Minas Gerais","Novembro",271,1999-01-01
2000,"Minas Gerais","Novembro",43,2000-01-01
2001,"Minas Gerais","Novembro",62,2001-01-01
2002,"Minas Gerais","Novembro",417,2002-01-01
2003,"Minas Gerais","Novembro",399,2003-01-01
2004,"Minas Gerais","Novembro",914,2004-01-01
2005,"Minas Gerais","Novembro",422,2005-01-01
2006,"Minas Gerais","Novembro",59,2006-01-01
2007,"Minas Gerais","Novembro",1.305,2007-01-01
2008,"Minas Gerais","Novembro",892,2008-01-01
2009,"Minas Gerais","Novembro",246,2009-01-01
2010,"Minas Gerais","Novembro",82,2010-01-01
2011,"Minas Gerais","Novembro",153,2011-01-01
2012,"Minas Gerais","Novembro",220,2012-01-01
2013,"Minas Gerais","Novembro",277,2013-01-01
2014,"Minas Gerais","Novembro",398,2014-01-01
2015,"Minas Gerais","Novembro",1.453,2015-01-01
2016,"Minas Gerais","Novembro",126,2016-01-01
2017,"Minas Gerais","Novembro",136,2017-01-01
1998,"Minas Gerais","Dezembro",21,1998-01-01
1999,"Minas Gerais","Dezembro",32,1999-01-01
2000,"Minas Gerais","Dezembro",14,2000-01-01
2001,"Minas Gerais","Dezembro",44,2001-01-01
2002,"Minas Gerais","Dezembro",225,2002-01-01
2003,"Minas Gerais","Dezembro",225,2003-01-01
2004,"Minas Gerais","Dezembro",125,2004-01-01
2005,"Minas Gerais","Dezembro",65,2005-01-01
2006,"Minas Gerais","Dezembro",32,2006-01-01
2007,"Minas Gerais","Dezembro",95,2007-01-01
2008,"Minas Gerais","Dezembro",25,2008-01-01
2009,"Minas Gerais","Dezembro",108,2009-01-01
2010,"Minas Gerais","Dezembro",105,2010-01-01
2011,"Minas Gerais","Dezembro",43,2011-01-01
2012,"Minas Gerais","Dezembro",189,2012-01-01
2013,"Minas Gerais","Dezembro",98,2013-01-01
2014,"Minas Gerais","Dezembro",155,2014-01-01
2015,"Minas Gerais","Dezembro",295,2015-01-01
2016,"Minas Gerais","Dezembro",91,2016-01-01
1998,"Pará","Janeiro",0,1998-01-01
1999,"Pará","Janeiro",87,1999-01-01
2000,"Pará","Janeiro",30,2000-01-01
2001,"Pará","Janeiro",34,2001-01-01
2002,"Pará","Janeiro",144,2002-01-01
2003,"Pará","Janeiro",900,2003-01-01
2004,"Pará","Janeiro",579,2004-01-01
2005,"Pará","Janeiro",1.768,2005-01-01
2006,"Pará","Janeiro",403,2006-01-01
2007,"Pará","Janeiro",467,2007-01-01
2008,"Pará","Janeiro",131,2008-01-01
2009,"Pará","Janeiro",241,2009-01-01
2010,"Pará","Janeiro",437,2010-01-01
2011,"Pará","Janeiro",108,2011-01-01
2012,"Pará","Janeiro",392,2012-01-01
2013,"Pará","Janeiro",167,2013-01-01
2014,"Pará","Janeiro",251,2014-01-01
2015,"Pará","Janeiro",725,2015-01-01
2016,"Pará","Janeiro",1.322,2016-01-01
2017,"Pará","Janeiro",219,2017-01-01
1998,"Pará","Fevereiro",0,1998-01-01
1999,"Pará","Fevereiro",285,1999-01-01
2000,"Pará","Fevereiro",29,2000-01-01
2001,"Pará","Fevereiro",16,2001-01-01
2002,"Pará","Fevereiro",120,2002-01-01
2003,"Pará","Fevereiro",34,2003-01-01
2004,"Pará","Fevereiro",20,2004-01-01
2005,"Pará","Fevereiro",85,2005-01-01
2006,"Pará","Fevereiro",49,2006-01-01
2007,"Pará","Fevereiro",23,2007-01-01
2008,"Pará","Fevereiro",54,2008-01-01
2009,"Pará","Fevereiro",15,2009-01-01
2010,"Pará","Fevereiro",102,2010-01-01
2011,"Pará","Fevereiro",13,2011-01-01
2012,"Pará","Fevereiro",63,2012-01-01
2013,"Pará","Fevereiro",30,2013-01-01
2014,"Pará","Fevereiro",37,2014-01-01
2015,"Pará","Fevereiro",108,2015-01-01
2016,"Pará","Fevereiro",430,2016-01-01
2017,"Pará","Fevereiro",14,2017-01-01
1998,"Pará","Março",0,1998-01-01
1999,"Pará","Março",7,1999-01-01
2000,"Pará","Março",181,2000-01-01
2001,"Pará","Março",0,2001-01-01
2002,"Pará","Março",14,2002-01-01
2003,"Pará","Março",27,2003-01-01
2004,"Pará","Março",22,2004-01-01
2005,"Pará","Março",21,2005-01-01
2006,"Pará","Março",10,2006-01-01
2007,"Pará","Março",6,2007-01-01
2008,"Pará","Março",4,2008-01-01
2009,"Pará","Março",4,2009-01-01
2010,"Pará","Março",110,2010-01-01
2011,"Pará","Março",21,2011-01-01
2012,"Pará","Março",30,2012-01-01
2013,"Pará","Março",19,2013-01-01
2014,"Pará","Março",34,2014-01-01
2015,"Pará","Março",61,2015-01-01
2016,"Pará","Março",81,2016-01-01
2017,"Pará","Março",42,2017-01-01
1998,"Pará","Abril",0,1998-01-01
1999,"Pará","Abril",6,1999-01-01
2000,"Pará","Abril",40,2000-01-01
2001,"Pará","Abril",0,2001-01-01
2002,"Pará","Abril",11,2002-01-01
2003,"Pará","Abril",14,2003-01-01
2004,"Pará","Abril",23,2004-01-01
2005,"Pará","Abril",14,2005-01-01
2006,"Pará","Abril",2,2006-01-01
2007,"Pará","Abril",0,2007-01-01
2008,"Pará","Abril",7,2008-01-01
2009,"Pará","Abril",8,2009-01-01
2010,"Pará","Abril",22,2010-01-01
2011,"Pará","Abril",10,2011-01-01
2012,"Pará","Abril",11,2012-01-01
2013,"Pará","Abril",20,2013-01-01
2014,"Pará","Abril",27,2014-01-01
2015,"Pará","Abril",27,2015-01-01
2016,"Pará","Abril",66,2016-01-01
2017,"Pará","Abril",45,2017-01-01
1998,"Pará","Maio",0,1998-01-01
1999,"Pará","Maio",4,1999-01-01
2000,"Pará","Maio",12,2000-01-01
2001,"Pará","Maio",7,2001-01-01
2002,"Pará","Maio",18,2002-01-01
2003,"Pará","Maio",3,2003-01-01
2004,"Pará","Maio",44,2004-01-01
2005,"Pará","Maio",37,2005-01-01
2006,"Pará","Maio",0,2006-01-01
2007,"Pará","Maio",9,2007-01-01
2008,"Pará","Maio",0,2008-01-01
2009,"Pará","Maio",7,2009-01-01
2010,"Pará","Maio",57,2010-01-01
2011,"Pará","Maio",16,2011-01-01
2012,"Pará","Maio",59,2012-01-01
2013,"Pará","Maio",42,2013-01-01
2014,"Pará","Maio",70,2014-01-01
2015,"Pará","Maio",95,2015-01-01
2016,"Pará","Maio",154,2016-01-01
2017,"Pará","Maio",114,2017-01-01
1998,"Pará","Junho",58,1998-01-01
1999,"Pará","Junho",37,1999-01-01
2000,"Pará","Junho",59,2000-01-01
2001,"Pará","Junho",42,2001-01-01
2002,"Pará","Junho",149,2002-01-01
2003,"Pará","Junho",64,2003-01-01
2004,"Pará","Junho",340,2004-01-01
2005,"Pará","Junho",304,2005-01-01
2006,"Pará","Junho",78,2006-01-01
2007,"Pará","Junho",129,2007-01-01
2008,"Pará","Junho",48,2008-01-01
2009,"Pará","Junho",38,2009-01-01
2010,"Pará","Junho",94,2010-01-01
2011,"Pará","Junho",105,2011-01-01
2012,"Pará","Junho",183,2012-01-01
2013,"Pará","Junho",173,2013-01-01
2014,"Pará","Junho",319,2014-01-01
2015,"Pará","Junho",265,2015-01-01
2016,"Pará","Junho",502,2016-01-01
2017,"Pará","Junho",679,2017-01-01
1998,"Pará","Julho",638,1998-01-01
1999,"Pará","Julho",982,1999-01-01
2000,"Pará","Julho",426,2000-01-01
2001,"Pará","Julho",708,2001-01-01
2002,"Pará","Julho",772,2002-01-01
2003,"Pará","Julho",1.571,2003-01-01
2004,"Pará","Julho",4.436,2004-01-01
2005,"Pará","Julho",4.364,2005-01-01
2006,"Pará","Julho",615,2006-01-01
2007,"Pará","Julho",476,2007-01-01
2008,"Pará","Julho",971,2008-01-01
2009,"Pará","Julho",397,2009-01-01
2010,"Pará","Julho",1.432,2010-01-01
2011,"Pará","Julho",632,2011-01-01
2012,"Pará","Julho",661,2012-01-01
2013,"Pará","Julho",447,2013-01-01
2014,"Pará","Julho",825,2014-01-01
2015,"Pará","Julho",906,2015-01-01
2016,"Pará","Julho",1.579,2016-01-01
2017,"Pará","Julho",4.985,2017-01-01
1998,"Pará","Agosto",6.815,1998-01-01
1999,"Pará","Agosto",6.178,1999-01-01
2000,"Pará","Agosto",5.484,2000-01-01
2001,"Pará","Agosto",9.043,2001-01-01
2002,"Pará","Agosto",15.664,2002-01-01
2003,"Pará","Agosto",6.255,2003-01-01
2004,"Pará","Agosto",12.812,2004-01-01
2005,"Pará","Agosto",13.055,2005-01-01
2006,"Pará","Agosto",7.575,2006-01-01
2007,"Pará","Agosto",14.352,2007-01-01
2008,"Pará","Agosto",4.435,2008-01-01
2009,"Pará","Agosto",3.859,2009-01-01
2010,"Pará","Agosto",18.13,2010-01-01
2011,"Pará","Agosto",2.195,2011-01-01
2012,"Pará","Agosto",6.964,2012-01-01
2013,"Pará","Agosto",2.161,2013-01-01
2014,"Pará","Agosto",8.555,2014-01-01
2015,"Pará","Agosto",7.913,2015-01-01
2016,"Pará","Agosto",4.863,2016-01-01
2017,"Pará","Agosto",11.962,2017-01-01
1998,"Pará","Setembro",6.237,1998-01-01
1999,"Pará","Setembro",4.419,1999-01-01
2000,"Pará","Setembro",2.569,2000-01-01
2001,"Pará","Setembro",6.139,2001-01-01
2002,"Pará","Setembro",5.609,2002-01-01
2003,"Pará","Setembro",8.447,2003-01-01
2004,"Pará","Setembro",9.471,2004-01-01
2005,"Pará","Setembro",9.032,2005-01-01
2006,"Pará","Setembro",8.372,2006-01-01
2007,"Pará","Setembro",14.59,2007-01-01
2008,"Pará","Setembro",6.294,2008-01-01
2009,"Pará","Setembro",6.051,2009-01-01
2010,"Pará","Setembro",10.81,2010-01-01
2011,"Pará","Setembro",5.185,2011-01-01
2012,"Pará","Setembro",6.87,2012-01-01
2013,"Pará","Setembro",3.36,2013-01-01
2014,"Pará","Setembro",6.787,2014-01-01
2015,"Pará","Setembro",11.068,2015-01-01
2016,"Pará","Setembro",3.953,2016-01-01
2017,"Pará","Setembro",25.004,2017-01-01
1998,"Pará","Outubro",3.665,1998-01-01
1999,"Pará","Outubro",5.026,1999-01-01
2000,"Pará","Outubro",4.313,2000-01-01
2001,"Pará","Outubro",5.096,2001-01-01
2002,"Pará","Outubro",5.189,2002-01-01
2003,"Pará","Outubro",3.803,2003-01-01
2004,"Pará","Outubro",4.726,2004-01-01
2005,"Pará","Outubro",5.083,2005-01-01
2006,"Pará","Outubro",5.964,2006-01-01
2007,"Pará","Outubro",2.504,2007-01-01
2008,"Pará","Outubro",6.653,2008-01-01
2009,"Pará","Outubro",6.342,2009-01-01
2010,"Pará","Outubro",3.843,2010-01-01
2011,"Pará","Outubro",3.141,2011-01-01
2012,"Pará","Outubro",3.714,2012-01-01
2013,"Pará","Outubro",4.921,2013-01-01
2014,"Pará","Outubro",6.448,2014-01-01
2015,"Pará","Outubro",7.781,2015-01-01
2016,"Pará","Outubro",5.281,2016-01-01
2017,"Pará","Outubro",7.628,2017-01-01
1998,"Pará","Novembro",1.861,1998-01-01
1999,"Pará","Novembro",2.682,1999-01-01
2000,"Pará","Novembro",3.366,2000-01-01
2001,"Pará","Novembro",4.938,2001-01-01
2002,"Pará","Novembro",7.996,2002-01-01
2003,"Pará","Novembro",6.195,2003-01-01
2004,"Pará","Novembro",9.842,2004-01-01
2005,"Pará","Novembro",4.968,2005-01-01
2006,"Pará","Novembro",2.883,2006-01-01
2007,"Pará","Novembro",2.89,2007-01-01
2008,"Pará","Novembro",2.403,2008-01-01
2009,"Pará","Novembro",10.012,2009-01-01
2010,"Pará","Novembro",4.417,2010-01-01
2011,"Pará","Novembro",3.043,2011-01-01
2012,"Pará","Novembro",6.156,2012-01-01
2013,"Pará","Novembro",3.688,2013-01-01
2014,"Pará","Novembro",7.767,2014-01-01
2015,"Pará","Novembro",9.643,2015-01-01
2016,"Pará","Novembro",7.879,2016-01-01
2017,"Pará","Novembro",9.079,2017-01-01
1998,"Pará","Dezembro",1.008,1998-01-01
1999,"Pará","Dezembro",766,1999-01-01
2000,"Pará","Dezembro",1.698,2000-01-01
2001,"Pará","Dezembro",2.564,2001-01-01
2002,"Pará","Dezembro",3.118,2002-01-01
2003,"Pará","Dezembro",4.787,2003-01-01
2004,"Pará","Dezembro",5.508,2004-01-01
2005,"Pará","Dezembro",1.495,2005-01-01
2006,"Pará","Dezembro",1.417,2006-01-01
2007,"Pará","Dezembro",689,2007-01-01
2008,"Pará","Dezembro",684,2008-01-01
2009,"Pará","Dezembro",2.832,2009-01-01
2010,"Pará","Dezembro",1.612,2010-01-01
2011,"Pará","Dezembro",3.218,2011-01-01
2012,"Pará","Dezembro",1.812,2012-01-01
2013,"Pará","Dezembro",5.514,2013-01-01
2014,"Pará","Dezembro",4.828,2014-01-01
2015,"Pará","Dezembro",6.61,2015-01-01
2016,"Pará","Dezembro",3.3,2016-01-01
1998,"Paraiba","Janeiro",0,1998-01-01
1999,"Paraiba","Janeiro",26,1999-01-01
2000,"Paraiba","Janeiro",0,2000-01-01
2001,"Paraiba","Janeiro",11,2001-01-01
2002,"Paraiba","Janeiro",5,2002-01-01
2003,"Paraiba","Janeiro",70,2003-01-01
2004,"Paraiba","Janeiro",33,2004-01-01
2005,"Paraiba","Janeiro",178,2005-01-01
2006,"Paraiba","Janeiro",83,2006-01-01
2007,"Paraiba","Janeiro",69,2007-01-01
2008,"Paraiba","Janeiro",77,2008-01-01
2009,"Paraiba","Janeiro",115,2009-01-01
2010,"Paraiba","Janeiro",46,2010-01-01
2011,"Paraiba","Janeiro",11,2011-01-01
2012,"Paraiba","Janeiro",61,2012-01-01
2013,"Paraiba","Janeiro",38,2013-01-01
2014,"Paraiba","Janeiro",75,2014-01-01
2015,"Paraiba","Janeiro",42,2015-01-01
2016,"Paraiba","Janeiro",18,2016-01-01
2017,"Paraiba","Janeiro",23,2017-01-01
1998,"Paraiba","Fevereiro",0,1998-01-01
1999,"Paraiba","Fevereiro",2,1999-01-01
2000,"Paraiba","Fevereiro",11,2000-01-01
2001,"Paraiba","Fevereiro",6,2001-01-01
2002,"Paraiba","Fevereiro",18,2002-01-01
2003,"Paraiba","Fevereiro",3,2003-01-01
2004,"Paraiba","Fevereiro",3,2004-01-01
2005,"Paraiba","Fevereiro",15,2005-01-01
2006,"Paraiba","Fevereiro",7,2006-01-01
2007,"Paraiba","Fevereiro",7,2007-01-01
2008,"Paraiba","Fevereiro",20,2008-01-01
2009,"Paraiba","Fevereiro",9,2009-01-01
2010,"Paraiba","Fevereiro",15,2010-01-01
2011,"Paraiba","Fevereiro",5,2011-01-01
2012,"Paraiba","Fevereiro",15,2012-01-01
2013,"Paraiba","Fevereiro",9,2013-01-01
2014,"Paraiba","Fevereiro",6,2014-01-01
2015,"Paraiba","Fevereiro",15,2015-01-01
2016,"Paraiba","Fevereiro",4,2016-01-01
2017,"Paraiba","Fevereiro",8,2017-01-01
1998,"Paraiba","Março",0,1998-01-01
1999,"Paraiba","Março",1,1999-01-01
2000,"Paraiba","Março",5,2000-01-01
2001,"Paraiba","Março",0,2001-01-01
2002,"Paraiba","Março",3,2002-01-01
2003,"Paraiba","Março",0,2003-01-01
2004,"Paraiba","Março",3,2004-01-01
2005,"Paraiba","Março",13,2005-01-01
2006,"Paraiba","Março",4,2006-01-01
2007,"Paraiba","Março",1,2007-01-01
2008,"Paraiba","Março",8,2008-01-01
2009,"Paraiba","Março",2,2009-01-01
2010,"Paraiba","Março",16,2010-01-01
2011,"Paraiba","Março",6,2011-01-01
2012,"Paraiba","Março",4,2012-01-01
2013,"Paraiba","Março",3,2013-01-01
2014,"Paraiba","Março",18,2014-01-01
2015,"Paraiba","Março",7,2015-01-01
2016,"Paraiba","Março",1,2016-01-01
2017,"Paraiba","Março",2,2017-01-01
1998,"Paraiba","Abril",0,1998-01-01
1999,"Paraiba","Abril",3,1999-01-01
2000,"Paraiba","Abril",1,2000-01-01
2001,"Paraiba","Abril",0,2001-01-01
2002,"Paraiba","Abril",1,2002-01-01
2003,"Paraiba","Abril",0,2003-01-01
2004,"Paraiba","Abril",3,2004-01-01
2005,"Paraiba","Abril",2,2005-01-01
2006,"Paraiba","Abril",0,2006-01-01
2007,"Paraiba","Abril",0,2007-01-01
2008,"Paraiba","Abril",0,2008-01-01
2009,"Paraiba","Abril",1,2009-01-01
2010,"Paraiba","Abril",2,2010-01-01
2011,"Paraiba","Abril",2,2011-01-01
2012,"Paraiba","Abril",13,2012-01-01
2013,"Paraiba","Abril",6,2013-01-01
2014,"Paraiba","Abril",8,2014-01-01
2015,"Paraiba","Abril",11,2015-01-01
2016,"Paraiba","Abril",1,2016-01-01
2017,"Paraiba","Abril",1,2017-01-01
1998,"Paraiba","Maio",0,1998-01-01
1999,"Paraiba","Maio",0,1999-01-01
2000,"Paraiba","Maio",0,2000-01-01
2001,"Paraiba","Maio",4,2001-01-01
2002,"Paraiba","Maio",1,2002-01-01
2003,"Paraiba","Maio",0,2003-01-01
2004,"Paraiba","Maio",1,2004-01-01
2005,"Paraiba","Maio",0,2005-01-01
2006,"Paraiba","Maio",0,2006-01-01
2007,"Paraiba","Maio",0,2007-01-01
2008,"Paraiba","Maio",0,2008-01-01
2009,"Paraiba","Maio",0,2009-01-01
2010,"Paraiba","Maio",10,2010-01-01
2011,"Paraiba","Maio",0,2011-01-01
2012,"Paraiba","Maio",10,2012-01-01
2013,"Paraiba","Maio",3,2013-01-01
2014,"Paraiba","Maio",1,2014-01-01
2015,"Paraiba","Maio",6,2015-01-01
2016,"Paraiba","Maio",1,2016-01-01
2017,"Paraiba","Maio",1,2017-01-01
1998,"Paraiba","Junho",3,1998-01-01
1999,"Paraiba","Junho",1,1999-01-01
2000,"Paraiba","Junho",2,2000-01-01
2001,"Paraiba","Junho",0,2001-01-01
2002,"Paraiba","Junho",1,2002-01-01
2003,"Paraiba","Junho",0,2003-01-01
